Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
README.txt;275;Christian;Markwitz;5;"31.05.2021 18:28";6_Air_pressure/README.txt
TA_RH_PA_Leinefelde.csv;667040;Christian;Markwitz;5;"31.05.2021 18:28";6_Air_pressure/TA_RH_PA_Leinefelde.csv
